Rank,PIXEL,USD
1,52500,1627.5
2,43500,1348.5
3,34500,1069.5
4,28500,883.5
5,24600,762.6
6,21600,669.6
7,19200,595.2
8,15600,483.6
9,12360,383.16
10,9600,297.6
11,6080,188.48
12,5864,181.784
13,5600,173.6
14,5280,163.68
15,4960,153.76
16,4720,146.32
17,4480,138.88
18,4160,128.96
19,4000,124
20,3680,114.08
21,3360,104.16
22,3080,95.48
23,2800,86.8
24,2560,79.36
25,2280,70.68
26,2160,66.96
27,2080,64.48
28,2000,62
29,1920,59.52
30,1840,57.04
31,1320,40.92
32,1290,39.99
33,1260,39.06
34,1230,38.13
35,1200,37.2
36,1170,36.27
37,1128,34.968
38,1092,33.852
39,1056,32.736
40,1026,31.806
41,990,30.69
42,960,29.76
43,924,28.644
44,888,27.528
45,852,26.412
46,819,25.389
47,786,24.366
48,750,23.25
49,720,22.32
50,684,21.204
51,420,13.02
52,420,13.02
53,420,13.02
54,420,13.02
55,420,13.02
56,420,13.02
57,420,13.02
58,420,13.02
59,420,13.02
60,420,13.02
61,420,13.02
62,420,13.02
63,420,13.02
64,420,13.02
65,420,13.02
66,420,13.02
67,420,13.02
68,420,13.02
69,420,13.02
70,420,13.02
71,420,13.02
72,420,13.02
73,420,13.02
74,420,13.02
75,420,13.02
76,420,13.02
77,420,13.02
78,420,13.02
79,420,13.02
80,420,13.02
81,360,11.16
82,360,11.16
83,360,11.16
84,360,11.16
85,360,11.16
86,360,11.16
87,360,11.16
88,360,11.16
89,360,11.16
90,360,11.16
91,360,11.16
92,360,11.16
93,360,11.16
94,360,11.16
95,360,11.16
96,360,11.16
97,360,11.16
98,360,11.16
99,360,11.16
100,360,11.16
101,300,9.3
102,300,9.3
103,300,9.3
104,300,9.3
105,300,9.3
106,300,9.3
107,300,9.3
108,300,9.3
109,300,9.3
110,300,9.3
111,300,9.3
112,300,9.3
113,300,9.3
114,300,9.3
115,300,9.3
116,300,9.3
117,300,9.3
118,300,9.3
119,300,9.3
120,300,9.3
121,300,9.3
122,300,9.3
123,300,9.3
124,300,9.3
125,300,9.3
126,300,9.3
127,300,9.3
128,300,9.3
129,300,9.3
130,300,9.3
131,300,9.3
132,300,9.3
133,300,9.3
134,300,9.3
135,300,9.3
136,300,9.3
137,300,9.3
138,300,9.3
139,300,9.3
140,300,9.3
141,300,9.3
142,300,9.3
143,300,9.3
144,300,9.3
145,300,9.3
146,300,9.3
147,300,9.3
148,300,9.3
149,300,9.3
150,300,9.3
151,240,7.44
152,240,7.44
153,240,7.44
154,240,7.44
155,240,7.44
156,240,7.44
157,240,7.44
158,240,7.44
159,240,7.44
160,240,7.44
161,240,7.44
162,240,7.44
163,240,7.44
164,240,7.44
165,240,7.44
166,240,7.44
167,240,7.44
168,240,7.44
169,240,7.44
170,240,7.44
171,240,7.44
172,240,7.44
173,240,7.44
174,240,7.44
175,240,7.44
176,240,7.44
177,240,7.44
178,240,7.44
179,240,7.44
180,240,7.44
181,240,7.44
182,240,7.44
183,240,7.44
184,240,7.44
185,240,7.44
186,240,7.44
187,240,7.44
188,240,7.44
189,240,7.44
190,240,7.44
191,240,7.44
192,240,7.44
193,240,7.44
194,240,7.44
195,240,7.44
196,240,7.44
197,240,7.44
198,240,7.44
199,240,7.44
200,240,7.44
201,180,5.58
202,180,5.58
203,180,5.58
204,180,5.58
205,180,5.58
206,180,5.58
207,180,5.58
208,180,5.58
209,180,5.58
210,180,5.58
211,180,5.58
212,180,5.58
213,180,5.58
214,180,5.58
215,180,5.58
216,180,5.58
217,180,5.58
218,180,5.58
219,180,5.58
220,180,5.58
221,180,5.58
222,180,5.58
223,180,5.58
224,180,5.58
225,180,5.58
226,180,5.58
227,180,5.58
228,180,5.58
229,180,5.58
230,180,5.58
231,180,5.58
232,180,5.58
233,180,5.58
234,180,5.58
235,180,5.58
236,180,5.58
237,180,5.58
238,180,5.58
239,180,5.58
240,180,5.58
241,180,5.58
242,180,5.58
243,180,5.58
244,180,5.58
245,180,5.58
246,180,5.58
247,180,5.58
248,180,5.58
249,180,5.58
250,180,5.58
251,180,5.58
252,180,5.58
253,180,5.58
254,180,5.58
255,180,5.58
256,180,5.58
257,180,5.58
258,180,5.58
259,180,5.58
260,180,5.58
261,180,5.58
262,180,5.58
263,180,5.58
264,180,5.58
265,180,5.58
266,180,5.58
267,180,5.58
268,180,5.58
269,180,5.58
270,180,5.58
271,180,5.58
272,180,5.58
273,180,5.58
274,180,5.58
275,180,5.58
276,180,5.58
277,180,5.58
278,180,5.58
279,180,5.58
280,180,5.58
281,180,5.58
282,180,5.58
283,180,5.58
284,180,5.58
285,180,5.58
286,180,5.58
287,180,5.58
288,180,5.58
289,180,5.58
290,180,5.58
291,180,5.58
292,180,5.58
293,180,5.58
294,180,5.58
295,180,5.58
296,180,5.58
297,180,5.58
298,180,5.58
299,180,5.58
300,180,5.58
301,150,4.65
302,150,4.65
303,150,4.65
