username,gold,userid
Riesling3,4558276,6147813969
RhaenyraDamon,1354740,7723418835
GreedSns,19587318,1648649636
zerozero_blue,4374045,6609654641
valmts,19312350,180345642
PandaCrew89,25785693,358709165
mistozy,6058581,291145802
evorvv,28960060,811439704
saveno4ek,40817003,1068392820
Devilucy,5949651,5705887673
skaydaulov,30551364,446493264
bap250295,13967370,5908895676
happyfack,4536970,445963156
Hanskim007,19527770,560094401
勝成,3780277,line:Ubcc524e3e856c25c5274f4af9c8b9cba
mmaximr,33709137,241471183
jlfc94,5378871,789878169
scarecrow344,19563378,474390083
Vsevolodok,9129693,1933530824
1155785572,32658059,1155785572
Dante04,23994822,820800841
486736314,11404562,486736314
Dimadrmz,25133879,60840711
aloha_hell,23425788,449135833
testyourluck,7518317,315361585
otca_syn,15893162,328545939
VeraS_MVP,37552922,912276441
Evgeniy8829,32701776,422101943
nurkhan1993,24792822,802154461
runnerforest,28966980,1706902193
muro,2529000,line:Uc81c6f73c9989f3a023cfd770856bb31
cursed_fate,22957272,459749723
carlmigs,45938809,6438338173
tokmachka,1669650,798155416
ludzakura,28584568,510639825
Alexey699,8540354,5024982117
unit4440,32867554,7514395360
Asako kinoshita,80670,line:U0d609fd2ff4547f910c47b8d3fa01aa0
Harabas,33837297,1983366905
torChun21,37611965,885707952
MAKO,1567300,line:Ua1ebe3d6f0f33faeae820df20843240f
Danila_KG,17189444,7186299343
Alex01_0_0,15306844,1151007427
OrionBreakneck,40169528,7895756083
fcsmlegend,32921483,298858674
DAV197726,34583335,180107873
Niakristi,33988361,508599389
MikhMan,13211976,333542722
NirvanaDobriy,36523992,435387874
miguelaamigo,33837808,953057469
Ancouch,51039099,1049852601
calibrovod,29240981,797664805
OlgaKone76,32059088,5188417924
NeutronIvan,9502509,1526296005
jama894,30863455,608726098
渡辺正義,357280,line:Ucc370381b4c622fba7eec10c36145eba
Frienki_Loman,25024520,1882854320
サトウ,141650,line:U1f582a9df6c591e76b69272bfed00b2d
sunlra,21048157,843348180
sashaeilat,9553734,1037488464
7907003382,27503366,7907003382
橋本,143930,line:U4728b8034b37b355f0dbe80bb8139345
KingRepizo,68150,1703342405
airborne081,17536685,325808689
happyturn0601,17605438,7050988394
kotolotto,34564431,105750370
soundsintense,14681224,887339453
zhuraily,2310040,1487717651
Skyvolk_Admin,14560123,792898718
seve90seve,27233294,1981982697
makarenko_sd,25571536,129301243
Blavkmorgan,45179678,1607237399
7151799776,15917008,7151799776
evgeniy_exp,35327932,441327065
surobard,6490413,300558005
Blincke,2316430,1880028978
Melamory75,42205938,7042768236
SmithKron,25842198,482762397
8143439261,1587100,8143439261
igorrrrrrrrrrrrrrrrrrrr,20487685,1717982301
7433101157,1615400,7433101157
Quickmanlol,9944970,7055626263
5264963423,21811465,5264963423
ShadowID,35865874,94762135
Spinosaurus,13426256,line:Uda01dc761c4c9e6c0c720cff7b4a1aa2
CrypTugi1988,13344598,5001167835
nwnow,27947036,5901144647
Juiiol,18337671,5917762536
LmaoLLLq,10015260,6856821968
bobozyon,41511719,541608398
Masketila,11918101,1524186029
8004348909,1586550,8004348909
khiroshin,10653545,5232525961
292994769,36754877,292994769
Benssoonn,47771726,784567003
Artyrios,47064021,483069179
kkrlee3128,4856005,1709895998
Evgeniip2975,39863770,318735245
BomPaniss,1351237,8292308879
Leonidbon,28007227,876435883
Kopstav,50728562,7175524313
seokhwanam,11093877,1677589274
ministrelia0601,11475817,5008028401
Vladimir99227,10119580,6539285521
Butoane33,23372913,631996695
465381164,39937479,465381164
npatino,39504419,5825577973
1466610522,3478520,1466610522
Nohhyunjun,21273753,5063531786
ghost7639,19538963,5114822709
koexto,35557607,432925218
hiob23,1093370,5106501384
melanieben,3360621,7647404588
UJ🦔,771150,line:U5887885014882c18bd590a57e4bf7d70
Cyberblazer,36011776,5458875996
ND_1L,29565482,1557464414
Aleksandr_A_Kravtsov,35564008,390115258
Ant0tek,6441714,5410909738
llleeegggeeennntttuuurrraaa,43657083,5623408008
KEI,359450,line:Ubc4eb04831c6460d6076a58c60317f9d
Since199Os,14044039,846191686
hysterriaa,15840499,374269859
ま～ち888,231650,line:U7900ab6217a577a2b23d8e3c4623a641
radele4ka,41917578,244188668
JayvieGojo,32331625,5822426481
johnik82,17004578,610815800
7746979117,30976412,7746979117
taurus_belarus,38658508,338431880
vdk36320,20235622,95563278
RomanAtval,23379209,1089457364
BlackTAB75,42347166,139246041
cheburahapnz,22564401,131405280
Alex21197,28391858,970546364
Zhuchara322,40702584,114908306
SerhiiMarkus,21692018,563704239
明美,530110,line:U0d371bbd0d7cdfd1f4e5e73dd5170328
LongYQ,165290,6599113673
ASKubonin,44952180,416322521
Justice7510,42307016,6864541436
T,4539341,line:Ub59677d05727410f52f44275345f1403
F3DY4_5,18594231,1114566121
ihor_riabukha,31982928,380410690
Maxim240385,7019471,5245635694
heymaoc,1246150,8006490097
けんたろ,2334470,line:U612a09d91a3cad867d6c232a4ba920b4
MagicNinjaX,65870699,1644381684
7256405969,4413776,7256405969
printing_labs,16864637,772008696
rat3user,35376803,339603907
Bbmant,10455830,7291861935
psychxelbr,5354743,442714674
AKCAHOM,31589130,771280033
tottip777,13568219,405698817
eternalllx,11785165,218127256
nick_for_tel,29481129,521279149
Kodmin,30212808,351696701
ArinaK03,30272291,6833078755
Ivangoto,42969185,842070363
Vitalij_Czajka,38338754,7358841446
analygin,38718438,550440267
rezkydrops,16190586,6652274521
HopiumLast,33703526,6018976994
lesyanovikova,21664562,1692753516
AleKsei_Sam,28554614,1669939509
7578760006,1534590,7578760006
dulin_iv,35552685,7173030688
cryptocrash15,13552511,1721941977
FoxDollar,8147250,228373474
i588261236,41725305,588261236
Olka1887,43618461,1431224363
nurkhan93,22107898,1023454672
stmnkv,20920663,253325877
B10ur,27054593,5284706760
mobdrir,1039650,8069698536
k1ritoSAO,23882760,838825614
7950690688,1664300,7950690688
EvroMaks,22884915,827237984
SAW0829,22968169,415762434
honoluludrums,21734440,1416726062
m0322m,34204110,2060511894
H,733900,line:Uc331f4ca2d31c72b96725156dbebeeec
salsarafa,28259996,205665509
Iq753,19424389,1638785247
denisverr,23471348,732095900
6063307151,14870700,6063307151
MillDim,11780571,475208403
Glazic,27659580,1071388201
purple01meow,29653552,994638630
Ixia37,6749024,8004676901
Juliana_ID,46173930,407428821
Sans2707,22395971,1025748985
5880147663,30850956,5880147663
ilyacheshkoff,20267486,5219845655
FankyZ,306890,line:Uc3ca4e91206fd04d37dbf0e2bb4fdaeb
petro20181,13983973,5193544694
ganja774,25912734,763808688
RaZzoRr,111895508,204340391
farmerdaddy,11111830,691796105
Sandr711,6616209,1560252614
chalexberg_real_estate,26832795,1403397947
liprik0n,27900614,449360979
SoberSats,6874899,1676850472
Freeda_Free,37561330,6568184487
Anzhi_MMA,8498142,844410487
ワニ,617450,line:U5c391c05825c30a58db6aab2ed709e11
Dr_Samigulina,32315092,461160340
Emibubble,13134650,6147880868
tdaik,434650,5132404521
