rank,username,score,gold,rares,epics,legendaries,userid
1,RomanButi,217667759.465,15121067.0,2577,878,185,8278624644
2,Chung838,98955764.451,10152433.0,1691,586,118,7141742361
3,huudong2512,21916325.031,2150979.0,1737,612,126,413611713
4,hueddin,21704720.48,3416990.0,894,353,78,7789819209
5,quynh02_99,20833167.0,3351000.0,921,326,78,7412434642
6,vinhaneth,19500614.34,3349470.0,928,334,63,7775315945
7,lanhdrama,18972320.0,3352000.0,946,319,60,8055074194
8,theslaylau,18886063.189999998,3204830.0,885,383,57,7787881344
9,7588224725,18215892.0,3254000.0,902,306,62,7588224725
10,densmall,17884058.919999998,2480452.0,1020,365,100,653447792
11,lomkisa,16869120.0,3056000.0,878,332,55,7643574318
12,6616398468,13476335.6,2405200.0,781,252,77,6616398468
13,7312900735,11224831.763999999,2206572.0,745,292,53,7312900735
14,congiane3,8974025.0,1560700.0,778,287,75,7574753911
15,nghetthoi,8772476.0,1564000.0,757,312,66,7503218283
16,kimcuchu,8620830.000000002,1566000.0,797,268,70,7967184250
17,tunggiam10,8506524.0,1612000.0,779,268,63,7795179373
18,minhuew,8296862.280000001,1748180.0,830,266,44,7591100409
19,Aiga,8240192.289999999,1502314.0,849,306,60,line:U5d9f5f6c58ab4b9b2e190fe26ec7cc68
20,doansad,7884742.400000001,1605200.0,810,277,48,7728136884
21,Merilyn46e,7625398.689,2162007.0,403,164,38,5089056155
22,blhueed,7460603.0,1513000.0,763,258,54,7671407028
23,MayYoun9DW,6783329.895,2013455.0,359,130,41,5037555439
24,AllenFr59G,6670668.398,2065862.0,369,155,31,5065482539
25,vilropx,6513364.0,2596000.0,315,119,16,8097278898
26,GwendaConnor1jk,6414225.74,2145226.0,358,147,25,5014577816
27,GriseldaWiggin3,6408257.6219999995,1991379.0,340,128,37,5043328748
28,JadeArm23se,6370024.368,2173328.0,377,139,24,5025668503
29,BrianaS2441,6319870.865,2028851.0,411,134,30,5073657217
30,JackParTert,6307899.948,2079756.0,407,136,27,5053479815
31,CollinHse,6208215.754,2084693.0,376,107,32,5099855892
32,KelleyN3esR,6157495.0370000005,2137277.0,399,102,29,5024493568
33,amazonkzs,6150885.774,2075898.0,385,128,27,5021102617
34,Magdale8aou,6095082.734999999,2118555.0,383,134,23,5011174471
35,RonaldN76f,5956595.285,2022613.0,391,134,25,5057714530
36,ffniks,5869347.288000001,1581608.0,467,179,39,1008229804
37,MorganG9ety,5750147.898,2002838.0,377,154,19,5041900572
38,BettyMoTu,5733227.837,2100853.0,379,120,21,5054703398
39,raskenovs,5525779.283999999,1992708.0,375,123,22,5030153158
40,GeraldS856,5132385.915,1841545.0,341,126,23,5092100277
41,7799361978,4923594.013,1497899.0,391,151,33,7799361978
42,Viktory37AT,4920038.305,1925651.0,373,122,15,5016528576
43,M191919,4866282.0,1227000.0,560,206,39,6415239785
44,5378240652,4684482.0,1298000.0,479,150,41,5378240652
45,calistropareri,4632325.971,1692483.0,339,118,23,215921860
46,SLnatalya1,4255920.0,1104000.0,587,178,40,5426457638
47,anhvinhhamchoi,3709956.6,926100.0,600,206,39,7924686050
48,Habiba319,3596910.3499999996,1483262.0,279,91,20,7208000567
49,vy1thu,3210172.42,817670.0,586,220,34,8102726826
50,7256405969,3174933.315,1081749.0,381,134,25,7256405969
51,Bake3112,3133109.72,1353980.0,216,78,21,5074128855
52,Ttuyet1994,3034524.96,1283640.0,254,105,16,7286467942
53,YYEELLL,2696880.0,1020000.0,342,112,21,1959477599
54,NeutronIvan,2678740.0,887000.0,376,149,25,1526296005
55,7498710235,2674405.9999999995,661000.0,616,185,44,7498710235
56,ogtreeps,2655887.1119999997,1095663.0,302,107,16,268385006
57,Nukubots,2408120.0000000005,1684000.0,100,30,5,7649239056
58,bantoncoin,2364584.1999999997,1131380.0,226,69,15,6722715650
59,krazw69,2231031.4,837160.0,213,92,30,6440162359
60,valeriy777str,2174650.0,713000.0,316,114,35,7869436979
61,VvxmTu,2097943.968,614512.0,398,131,41,6962118779
62,IiLjhF,1962751.328,614512.0,394,145,31,7064353952
